threshold,n,tp,tn,fp,fn,accuracy,precision,recall,f1
0.28,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.29,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.3,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.31,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.32,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.33,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.34,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.35,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.36,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.37,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.38,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.39,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.4,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.41,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.42,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.43,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.44,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.45,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.46,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.47,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.48,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.49,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.5,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.51,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.52,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.53,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.54,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.55,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.56,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.57,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.58,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.59,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.6,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.61,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.62,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.63,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.64,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.65,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.66,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.67,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.68,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.69,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.7,67,34,31,2,0,0.9701492537313433,0.9444444444444444,1.0,0.9714285714285714
0.71,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.72,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.73,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.74,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.75,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.76,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.77,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.78,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.79,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.8,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.81,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.82,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.83,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.84,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.85,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.86,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
